"value","count"
"Chuck","38"
"Norris","31"
"the","20"
"in","15"
"to","12"
"a","12"
"is","9"
"on","6"
"only","6"
"of","6"
"with","6"
"he","5"
"and","5"
"I","5"
"has","4"
"The","4"
"his","4"
"an","4"
"epic.","4"
"hes","4"
"by","4"
"means","4"
"was","3"
"won","3"
"time","3"
"Saying","3"
"Norris.","3"
"about","3"
"roundhouse","3"
"so","3"
"name","2"
"children.","2"
"have","2"
"were","2"
"twice.","2"
"call","2"
"all","2"
"him","2"
"man","2"
"Herpes","2"
"bad","2"
"be","2"
"birth","2"
"you","2"
"action","2"
"it","2"
"ever","2"
"from","2"
"Asian","2"
"found","2"
"should","1"
"orgasms","1"
"can","1"
"ranking","1"
"head.","1"
"Neutrino's","1"
"ekfvievheidciejdnckejdnjcknendc.","1"
"Norris,","1"
"good","1"
"support","1"
"stayed","1"
"beat","1"
"simultaneously","1"
"another","1"
"asshole","1"
"once,","1"
"Lee.","1"
"who","1"
"knows","1"
"orgasm.","1"
"Russian","1"
"over","1"
"Quantum","1"
"up.","1"
"Bach's","1"
"that","1"
"because","1"
"That","1"
"pope,","1"
"my","1"
"Bruce","1"
"Kryptonite","1"
"shockwave","1"
"hard","1"
"VII","1"
"42","1"
"roundhouse.","1"
"judo,","1"
"'Dancing","1"
"along","1"
"It","1"
"child","1"
"human","1"
"does,","1"
"chopped","1"
"Cash","1"
"career","1"
"ribs.","1"
"showing","1"
"Calculator's","1"
"unexpectedly","1"
"now","1"
"it's","1"
"being","1"
"meteor.","1"
"been","1"
"could","1"
"Mexico","1"
"sex.","1"
"universe","1"
"as","1"
"nothing","1"
"mom,","1"
"me","1"
"unlucky","1"
"makes","1"
"put","1"
"Always.","1"
"broke","1"
"certificates","1"
"VIII","1"
"subatomic","1"
"Variations","1"
"ago","1"
"ONE!!!","1"
"light","1"
"Duplex","1"
"rack","1"
"once","1"
"Superman's","1"
"fear","1"
"next","1"
"States","1"
"world.","1"
"punched","1"
"alternate","1"
"holds","1"
"didgereedoo.","1"
"backward","1"
"age,","1"
"IT'S","1"
"anything","1"
"work","1"
"score","1"
"Goldberg","1"
"Seconds.","1"
"changed","1"
"Once","1"
"asked","1"
"merely","1"
"HILARIOUS.","1"
"first","1"
"drivers","1"
"Reno.","1"
"sitar,","1"
"boogers.","1"
"meteor","1"
"Ippon","1"
"am","1"
"too","1"
"women","1"
"sex","1"
"particles","1"
"different","1"
"himself","1"
"Stars'","1"
"Nagasaki,","1"
"whenever","1"
"epic...Obviously","1"
"followed","1"
"play","1"
"befor","1"
"BBQ'ing","1"
"eye","1"
"also","1"
"sucks","1"
"before","1"
"oral","1"
"enough","1"
"immense","1"
"loss","1"
"pork","1"
"kid's","1"
"Hiroshima","1"
"outsmarting","1"
"mouth","1"
"named","1"
"sneezed","1"
"sneezes.","1"
"hurt...","1"
"woman","1"
"singlehandedly","1"
"me,","1"
"With","1"
"explodes.","1"
"suck.","1"
"figures","1"
"which","1"
"met","1"
"tree","1"
"whilst","1"
"wants","1"
"nutsack.","1"
"banned","1"
"source","1"
"kicking","1"
"some","1"
"certificate","1"
"checkmate","1"
"contest","1"
"Johnny","1"
"wasn't","1"
"epic","1"
"officer","1"
"boy:","1"
"military","1"
"He","1"
"faster.","1"
"scientific","1"
"due","1"
"In","1"
"Norris:","1"
"super","1"
"actually","1"
"lip","1"
"dad","1"
"axe","1"
"broken.","1"
"for","1"
"say","1"
"would","1"
"kick","1"
"felt","1"
"travel","1"
"real","1"
"sperm.","1"
"pimp-slapped","1"
"If","1"
"gets","1"
"speed","1"
"aunt,","1"
"kid","1"
"cause","1"
"one","1"
"care'.","1"
"wish","1"
"opponent","1"
"stead","1"
"energy","1"
"give","1"
"got","1"
"A","1"
"invented","1"
"'he","1"
"ARMY","1"
"interestingly","1"
"When","1"
"Military","1"
"given","1"
"dimension","1"
"pleased","1"
"United","1"
"always","1"
"refuse","1"
"Buenos","1"
"sister,","1"
"weakness","1"
"many","1"
"related","1"
"OF","1"
"threatening","1"
"'Darth'.","1"
"threaten","1"
"Norris's","1"
"16....","1"
"sweat","1"
"pursue","1"
"bowls","1"
"rea","1"
"your","1"
"said","1"
"around","1"
"house","1"
"paints","1"
"someone","1"
"funny","1"
"Hfkeheodicijhahkfooviysgjroiuchhsvfjshdfgvf","1"
"reportedly","1"
"beard","1"
"Not","1"
"Norris'","1"
"multiple","1"
"Waldo","1"
"until","1"
"physicists","1"
"licence","1"
"THAN","1"
"ass-kicking.","1"
"owns","1"
"Every","1"
"face","1"
"at","1"
"daughter.","1"
"retiring","1"
"year","1"
"there","1"
"date.","1"
"Aires","1"
"accompanying","1"
"fucking","1"
